Semester,Year,School,Area,Next School,Next Area
Spring/Fall,1980,A&S,Academic Skills,A&S,Academic Skills
Spring/Fall,1980,A&S,Afric & Mid East Stud,A&S,Afric & Mid East Stud
Spring/Fall,1980,A&S,American Stud,A&S,American Stud
Spring/Fall,1980,A&S,Anthropology,A&S,Anthropology
Spring/Fall,1980,A&S,Arts and Sciences,A&S,Arts and Sciences
Spring/Fall,1980,A&S,Asian Studies,A&S,Asian Studies
Spring/Fall,1980,A&S,Astro-Geophysics,A&S,"Astro, Planet, and Atmosp Sci"
Spring/Fall,1980,A&S,Bibliography,A&S,Bibliography
Spring/Fall,1980,A&S,Biology - EPOB,A&S,Biology - EPO
Spring/Fall,1980,A&S,Biology - MCDB,A&S,Biology - MCD
Spring/Fall,1980,A&S,Black Studies,A&S,Black Studies
Spring/Fall,1980,A&S,Cent for Interdiscip. Stud,A&S,"Cent for Experimental Studies"
Spring/Fall,1980,A&S,Chemistry,A&S,Chemistry
Spring/Fall,1980,A&S,Chicano Studies,A&S,Chicano Studies
Spring/Fall,1980,A&S,Classics,A&S,Classics
Spring/Fall,1980,A&S,Communication,A&S,Communication
Spring/Fall,1980,A&S,Com Disorders & Speech Sci,A&S,Com Disorders & Speech Sci
Spring/Fall,1980,A&S,Comparative Literature,A&S,Comparative Literature
Spring/Fall,1980,A&S,Computer Science,Engineering,Computer Science
Spring/Fall,1980,A&S,Conflict & Peace Studies,A&S,Conflict & Peace Studies
Spring/Fall,1980,A&S,Economics,A&S,Economics
Spring/Fall,1980,A&S,English,A&S,English
Spring/Fall,1980,A&S,Film Studies,A&S,Film Studies
Spring/Fall,1980,A&S,Fine Arts,A&S,Fine Arts
Spring/Fall,1980,A&S,Fine Arts History,A&S,Fine Arts History
Spring/Fall,1980,A&S,French & Italian Lang. & Lit.,A&S,French & Italian Lang. & Lit.
Spring/Fall,1980,A&S,Geography,A&S,Geography
Spring/Fall,1980,A&S,Geological Sciences,A&S,Geological Sciences
Spring/Fall,1980,A&S,Germanic Lang. and Lit.,A&S,Germanic Lang & Lit.
Spring/Fall,1980,A&S,History,A&S,History
Spring/Fall,1980,A&S,Latin American Stud,A&S,Latin American Stud
Spring/Fall,1980,A&S,Linguistics,A&S,"Linguistics (Indo-European, Romance)"
Spring/Fall,1980,A&S,Mathematics,A&S,Mathematics
Spring/Fall,1980,A&S,Medieval Studies,A&S,Medieval Studies
Spring,1980,A&S,Modern Languages,,
Spring/Fall,1980,A&S,Museum,A&S,Museum
Spring/Fall,1980,A&S,Music for Arts & Sciences,A&S,Music
Spring/Fall,1980,A&S,Oriental & Slavic Lang & Lit,A&S,"Slavic Lang. & Lit.;Oriental Lang. & Lit."
Spring/Fall,1980,A&S,Philosophy,A&S,Philosophy
Spring/Fall,1980,A&S,Physical Education & Recreation,A&S,Physical Education & Recreation
Spring/Fall,1980,A&S,Physics,A&S,Physics
Spring/Fall,1980,A&S,Political Science,A&S,Political Science
Spring/Fall,1980,A&S,Psychology,A&S,Psychology
Spring/Fall,1980,A&S,Religious Studies,A&S,Religious Studies
Spring/Fall,1980,A&S,Sociology,A&S,Sociology
Spring/Fall,1980,A&S,Spanish & Portuguese,A&S,Spanish & Portuguese
Spring/Fall,1980,A&S,"Theatre, Dance & Interpretation",A&S,Theatre & Dance
Spring/Fall,1980,A&S,Women Studies,,
Spring/Fall,1980,Architecture,Architecture,Architecture,Architecture
Spring/Fall,1980,Business,Accounting,Business,Accounting
Spring/Fall,1980,Business,Business Administration,Business,Business Administration
Spring/Fall,1980,Business,Business Education,,
Spring/Fall,1980,Business,Business Law,Business,Business Law
Spring/Fall,1980,Business,Computer Info Systems,Business,Information Systems
Spring/Fall,1980,Business,Finance,Business,Finance
Spring/Fall,1980,Business,Insurance,Business,Insurance
Spring/Fall,1980,Business,Mngmt Sci,Business,Mngmt Sci
Spring/Fall,1980,Business,Marketing,Business,Marketing
Spring,1980,Business,Minerals Land Management,Business,Minerals Land Management
Spring/Fall,1980,Business,Office Administration,,
Spring/Fall,1980,Business,Organizational Management,Business,Organizational Management
Spring/Fall,1980,Business,Personnel Management,Business,Personnel-Human Resources Management
Spring/Fall,1980,Business,Production Management,Business,Production Management
Spring/Fall,1980,Business,Real Estate,Business,Real Estate
Spring/Fall,1980,Business,Statistics,Business,Quantitative Methods
Spring/Fall,1980,Business,Transportation Managemen,,
Spring,1980,Education,Administration and Supervision,Education,Education
Spring,1980,Education,Curriculum,Education,Education
Fall,1980,Education,Education,Education,Education
Spring,1980,Education,Elementary Education,Education,Elementary Teacher Cert Courses
Spring,1980,Education,Guidance and Counseling,Education,Education
Spring,1980,Education,Higher Education,Education,Graduate Courses
Spring,1980,Education,Library Media,Education,Education
Spring,1980,Education,Psycho-Educational Studies,Education,Education
Spring,1980,Education,Reading,Education,Education
Spring,1980,Education,Research and Eval Method,Education,Education
Spring,1980,Education,Secondary Education,Education,Secondary Teach Cert Courses
Spring,1980,Education,Social Foundations,Education,Education
Spring/Fall,1980,Education,Teacher Education,Education,Teacher Education
Spring/Fall,1980,Engineering,Aerospace Eng,Engineering,Aerospace Eng Sciences
Spring/Fall,1980,Engineering,Architectural Eng,Engineering,Architectural Eng
Spring/Fall,1980,Engineering,Chemical Eng,Engineering,Chemical Eng
Spring/Fall,1980,Engineering,Civil and Env Eng,Engineering,"Civil, Environmental, and Architectural Eng"
Spring/Fall,1980,Engineering,Electrical Eng,Engineering,Elect and Comp Eng
Spring/Fall,1980,Engineering,Eng Design and Economic Eval,Engineering,Engineering
Spring/Fall,1980,Engineering,Engineering,Engineering,Engineering
Spring/Fall,1980,Engineering,Mechanical Eng,Engineering,Mechanical Eng
Spring/Fall,1980,Journalism,Journalism,Journalism,Journalism
Spring/Fall,1980,Music,Applied Music and Ensembles,Music,Applied Music and Ensembles
Spring/Fall,1980,Music,BA in Music,Music,BA in Music
Spring/Fall,1980,Music,Choral Music,Music,Choral Music
Spring/Fall,1980,Music,Doctor of Musical Arts,Music,Doctor of Musical Arts
Spring/Fall,1980,Music,History and Literature,Music,History and Literature
Spring/Fall,1980,Music,Music Education,Music,Music Education
Spring/Fall,1980,Music,Organ and Church Music,Music,Organ and Church Music
Spring/Fall,1980,Music,Piano,Music,Piano
Spring/Fall,1980,Music,Special Studies,Music,Special Studies
Spring,1980,Music,String,Music,Strings
Spring/Fall,1980,Music,Theory,Music,Theory
Spring/Fall,1980,Music,Thesis and Recitals,Music,Thesis and Recitals
Spring/Fall,1980,Music,Voice,Music,Voice
Spring/Fall,1980,Other,AF Aerospace Studies (ROTC),Other,AF Aerospace Studies (ROTC)
Spring/Fall,1980,Other,Military Science (ROTC),Other,Military Science (ROTC)
Spring/Fall,1980,Other,Naval Science (ROTC),Other,Naval Science (ROTC)
Fall,1985,A&S,Academic Skills,,
Spring/Fall,1985,A&S,Afric & Mid East Stud,A&S,Black Studies;Religious Studies
Spring/Fall,1985,A&S,American Stud,A&S,American Stud
Spring/Fall,1985,A&S,Anthropology,A&S,Anthropology
Spring/Fall,1985,A&S,Arts and Sciences,A&S,A&S Special Courses
Spring/Fall,1985,A&S,Asian Studies,A&S,Asian Studies
Spring/Fall,1985,A&S,"Astro, Planet, and Atmosp Sci",A&S,"Astro, Planet, and Atmosp Sci"
Spring/Fall,1985,A&S,Bibliography,A&S,Bibliography
Spring/Fall,1985,A&S,Biology - EPO,A&S,"Environmental, Population, and Organismic Biology"
Spring/Fall,1985,A&S,Biology - MCD,A&S,"Mole Cell Dev Biology"
Spring/Fall,1985,A&S,Black Studies,A&S,Black Studies
Spring/Fall,1985,A&S,Chemistry,A&S,Chemistry and Biochemistry
Spring/Fall,1985,A&S,Chicano Studies,A&S,Chicano Studies
Spring/Fall,1985,A&S,Classics,A&S,Classics
Spring/Fall,1985,A&S,Communication,A&S,Communication
Spring/Fall,1985,A&S,Com Disorders & Speech Sci,A&S,Com Disorders & Speech Sci
Spring/Fall,1985,A&S,Comparative Literature,A&S,Comparative Literature
Spring/Fall,1985,A&S,Conflict & Peace Studies,A&S,Conflict & Peace Studies
Spring,1985,A&S,Distributed Studies,,
Spring/Fall,1985,A&S,Economics,A&S,Economics
Spring/Fall,1985,A&S,English,A&S,English
Spring/Fall,1985,A&S,Film Studies,A&S,Film Studies
Spring/Fall,1985,A&S,Fine Arts,A&S,Fine Arts
Spring,1985,A&S,Fine Arts History,,
Spring/Fall,1985,A&S,French & Italian Lang. & Lit.,A&S,French;Italian
Spring/Fall,1985,A&S,Geography,A&S,Geography
Spring/Fall,1985,A&S,Geological Sciences,A&S,Geology
Spring/Fall,1985,A&S,Germanic Lang & Lit.,A&S,German
Spring/Fall,1985,A&S,History,A&S,History
Spring,1985,A&S,Honors,A&S,Honors
Spring/Fall,1985,A&S,"Cent for Experimental Studies",,
Spring/Fall,1985,A&S,Latin American Stud,A&S,Latin American Stud
